,i,j,k,method,bs,r,sample,p,event,count
126,1024,64,800,tiled,1024,0.16496480740980207,1,CFG_LL_TLB,page-faults,0
127,1024,64,800,tiled,1024,0.16496480740980207,1,CFG_LL_TLB,task-clock,1626275785
128,1024,64,800,tiled,1024,0.16496480740980207,0,CFG_LL_TLB,L1-dcache-loads,2674218333
129,1024,64,800,tiled,1024,0.16496480740980207,0,CFG_LL_TLB,cache-misses,12928870
130,1024,64,800,tiled,1024,0.16496480740980207,0,CFG_LL_TLB,cache-references,104158240
131,1024,64,800,tiled,1024,0.16496480740980207,0,CFG_LL_TLB,context-switches,0
132,1024,64,800,tiled,1024,0.16496480740980207,0,CFG_LL_TLB,cpu-migrations,0
133,1024,64,800,tiled,1024,0.16496480740980207,0,CFG_LL_TLB,dTLB-load-misses,30989104
134,1024,64,800,tiled,1024,0.16496480740980207,0,CFG_LL_TLB,page-faults,0
135,1024,64,800,tiled,1024,0.16496480740980207,0,CFG_LL_TLB,task-clock,1586887709
136,1024,64,800,tiled,1024,0.0018233480008684403,1,CFG_LL_TLB,L1-dcache-loads,2673998182
137,1024,64,800,tiled,1024,0.0018233480008684403,1,CFG_LL_TLB,cache-misses,17467565
138,1024,64,800,tiled,1024,0.0018233480008684403,1,CFG_LL_TLB,cache-references,104638164
139,1024,64,800,tiled,1024,0.0018233480008684403,1,CFG_LL_TLB,context-switches,0
140,1024,64,800,tiled,1024,0.0018233480008684403,1,CFG_LL_TLB,cpu-migrations,0
141,1024,64,800,tiled,1024,0.0018233480008684403,1,CFG_LL_TLB,dTLB-load-misses,42409285
142,1024,64,800,tiled,1024,0.0018233480008684403,1,CFG_LL_TLB,page-faults,0
143,1024,64,800,tiled,1024,0.0018233480008684403,1,CFG_LL_TLB,task-clock,1788437361
144,1024,64,800,tiled,1024,0.40615859883769795,1,CFG_LL_TLB,L1-dcache-loads,2674145248
145,1024,64,800,tiled,1024,0.40615859883769795,1,CFG_LL_TLB,cache-misses,9192756
146,1024,64,800,tiled,1024,0.40615859883769795,1,CFG_LL_TLB,cache-references,104989734
147,1024,64,800,tiled,1024,0.40615859883769795,1,CFG_LL_TLB,context-switches,0
148,1024,64,800,tiled,1024,0.40615859883769795,1,CFG_LL_TLB,cpu-migrations,0
